Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Don Adams\adamsdo01,SF,28,SSL,20,,36.3,5.0,12.6,.394,0.0,0.1,.000,5.0,12.5,.398,.394,3.2,4.2,.759,2.2,3.6,5.8,4.4,1.9,0.4,2.6,4.0,13.1
2,Bird Averitt\averibi01,SG,23,KEN,78,,29.1,7.0,16.3,.429,0.5,1.6,.313,6.5,14.7,.442,.444,3.4,4.4,.769,0.7,2.0,2.7,3.8,1.4,0.3,2.8,2.7,17.9
3,Jimmie Baker\bakerji01,PF,22,KEN,5,,8.0,0.6,3.0,.200,0.0,0.0,,0.6,3.0,.200,.200,0.0,0.4,.000,0.8,2.0,2.8,0.8,0.0,0.6,1.2,2.2,1.2
4,Marvin Barnes\barnema01,PF,23,SSL,67,,37.1,10.2,20.2,.503,0.0,0.2,.273,10.1,20.1,.504,.504,3.7,5.1,.740,3.9,6.9,10.8,2.2,1.9,2.0,3.4,4.1,24.1
5,Nathaniel Barnett\barnena01,PG,23,INA,12,,6.1,1.0,2.2,.462,0.0,0.1,.000,1.0,2.1,.480,.462,0.3,0.7,.375,0.3,0.4,0.7,0.7,0.3,0.1,0.7,1.8,2.3
6,Mike Barr\barrmi01,SG,25,SSL,56,,18.7,2.2,4.3,.517,0.1,0.3,.375,2.1,4.0,.527,.529,0.8,1.0,.836,0.5,1.4,1.9,3.1,1.1,0.1,1.5,1.4,5.4
7,Tim Bassett\basseti01,PF,24,NYA,84,,21.3,2.1,4.7,.437,0.0,0.1,.167,2.0,4.6,.441,.438,0.7,1.2,.592,2.2,4.1,6.3,0.8,0.6,0.5,1.2,2.9,4.8
8,Byron Beck\beckby01,PF,31,DNA,80,,19.8,4.2,8.1,.517,0.1,0.1,.455,4.1,7.9,.518,.521,1.2,1.5,.836,1.5,2.9,4.4,1.5,0.6,0.3,1.1,2.4,9.6
9,Mel Bennett\benneme01,PF,21,VIR,75,,29.2,4.4,10.9,.402,0.0,0.0,.000,4.4,10.9,.403,.402,3.3,5.4,.610,3.3,3.7,7.0,1.3,1.0,0.6,2.3,3.5,12.1
10,Ron Boone\boonero01,SG,29,TOT,78,,38.0,9.1,18.8,.486,0.2,0.6,.372,8.9,18.3,.489,.491,3.6,4.1,.871,1.5,2.6,4.1,5.0,2.0,0.2,3.5,3.1,22.0
10,Ron Boone\boonero01,SG,29,UTS,16,,39.8,10.4,21.2,.490,0.1,0.5,.250,10.3,20.7,.495,.493,5.3,6.2,.859,1.3,3.2,4.5,4.7,1.7,0.1,3.6,2.8,26.2
10,Ron Boone\boonero01,SG,29,SSL,62,,37.5,8.8,18.2,.485,0.2,0.6,.400,8.6,17.6,.488,.491,3.1,3.5,.877,1.5,2.5,4.0,5.0,2.0,0.2,3.5,3.2,21.0
11,Jim Bradley\bradlji01,PF,23,DNA,7,,15.3,2.1,5.4,.395,0.0,0.0,,2.1,5.4,.395,.395,0.3,0.4,.667,0.6,3.7,4.3,1.6,0.7,0.7,0.7,3.7,4.6
12,Allan Bristow\bristal01,SF,24,SAA,47,,18.8,2.7,5.8,.461,0.0,0.0,.000,2.7,5.7,.463,.461,1.7,2.0,.848,1.4,2.3,3.7,2.6,0.5,0.0,1.3,1.7,7.0
